id,phase,sim_time,incident,description,location,severity,visible_to,time_limit,state,points_resolve
1,1,0:00,Massive Data Exfiltration Detected,Virginia Tech SOC alerts show 47GB of data transferred to unknown IP addresses overnight from Engineering research servers. Traffic pattern suggests ongoing exfiltration. Affected servers may contain ITAR-controlled defense research.,Blacksburg,5,Virginia Tech Crisis Response;CISA Regional Coordinator,10,open,150
2,1,0:00,Regional Telecom Backbone Compromised,Shentel monitoring detects attack signatures traversing regional fiber backbone. Malware spreading to connected organizations including hospitals and utilities. Source traced to VT network segment.,Blacksburg,4,Shentel Communications;Virginia Tech Crisis Response,10,open,100
3,1,0:00,Hospital Electronic Records Inaccessible,"Carilion nurses arriving for morning shift cannot access patient records across all facilities. System shows ""connection timeout"" errors. 12 dialysis patients need treatment today but protocols cannot be verified.",Roanoke,5,Carilion Clinic System;United Way SW Virginia,10,open,150
4,1,0:00,Power Grid Control Systems Under Attack,"AEP security logs show 2,400 unauthorized query attempts against SCADA systems. Attack is probing for vulnerabilities in grid control. Operators must decide whether to isolate systems (causing outages) or risk exploitation.",Roanoke,5,AEP Appalachian Power;SW Virginia EMA,10,open,150
5,1,0:00,Highway Systems Failing Across Region,"I-81 electronic signs showing garbage characters, traffic cameras offline, signal timing systems unresponsive. VDOT and Sheriff receiving reports of confusion at multiple intersections. [UPDATE 0:15] Shenandoah (VDOT) and Banff (Sheriff) collaborated to switch signals to manual mode. Traffic flow restored at key intersections. However, electronic signs still showing garbage, traffic cameras remain offline, and underlying cyber cause not addressed. Deputies directing traffic at critical points.",Wytheville,4,VDOT SW Region;SW Virginia Sheriff's Coalition,10,partially_resolved,100
6,1,0:00,911 Emergency System Degraded,Regional 911 dispatchers report 3-5 second lag between receiving calls and system response. Two callers hung up before connection. Ambulance routing system also showing delays.,Wytheville,4,SW Virginia EMA;SW Virginia Sheriff's Coalition,10,open,100
7,1,0:00,County Government Systems Down,"Montgomery County staff find email down, permit system offline, phone system intermittent. Public calling to complain. County cannot process emergency permits or coordinate with other agencies.",Blacksburg,3,Montgomery County Government;Governor's SW Virginia Liaison,10,open,75
8,1,0:00,Environmental Monitoring Offline,"12 DEQ remote sensors monitoring coal ash ponds and water quality in mining areas stopped transmitting. Cannot verify environmental compliance. Coal ash pond failure would be catastrophic. [UPDATE 0:15] Redwood (Food City) and Yoho (DEQ) coordinating via intelligence sharing. Redwood preparing emergency food distribution contingency. However, no concrete action taken yet to restore sensors or verify water quality. Situation remains unresolved - awaiting DEQ field assessment.",Wise,4,VA DEQ SW Regional Office;Food City / Regional Supply Chain,10,open,100
9,1,0:00,Media Demands Answers as Rumors Spread,"WDBJ7 received anonymous tip about ""major cyberattack."" Social media rumors claim hospitals are closed. Reporter requesting official comment for morning broadcast. Contradictory information circulating. [UPDATE 0:15] Sequoia (WDBJ7) and Acadia (Governor) issued joint public statement and launched rumor control campaign. Hospital closure rumors addressed - public informed hospitals remain open. However, statement lacked details on actual cyber incident scope. Some residents still confused about what systems are affected. Media requesting follow-up briefing.",Roanoke,3,WDBJ7 News;Governor's SW Virginia Liaison,10,partially_resolved,75
10,1,0:00,Vulnerable Residents Flooding Hotlines,"United Way 211 receiving 5x normal call volume. Elderly church members calling pastors panicking about ""hacked medical records."" Faith networks asking for guidance to share with congregations.",Roanoke,3,United Way SW Virginia;Appalachian Faith & Community Network,10,open,75
11,1,0:15,Defense Department Demands Answers,"Pentagon ITAR compliance office calling Virginia Tech president directly. Demands immediate breach report within 2 hours or face suspension of all defense research contracts worth $180M annually.",Blacksburg,5,Virginia Tech Crisis Response;Governor's SW Virginia Liaison;CISA Regional Coordinator,15,open,175
12,1,0:15,Ransomware Detected in Hospital Systems,"Carilion IT discovers ransomware payload activated across 3 facilities. Attackers demand $5M in Bitcoin. Screen displays countdown timer: 4 hours until patient data published on dark web.",Roanoke,5,Carilion Clinic System;SW Virginia EMA;CISA Regional Coordinator,15,open,200
13,1,0:15,Power Grid Probe Succeeds - Substation Offline,"AEP reports attackers gained control of Blacksburg substation. 15,000 customers without power including VT campus and Carilion Roanoke Memorial ER backup systems activating.",Blacksburg,5,AEP Appalachian Power;Virginia Tech Crisis Response;Carilion Clinic System,10,open,175
14,1,0:15,911 Calls Going Unanswered,"Three 911 calls dropped completely. One caller having chest pains called back on personal cell - ambulance delayed 8 minutes. Local news tip line received complaint.",Wytheville,5,SW Virginia EMA;SW Virginia Sheriff's Coalition;WDBJ7 News,10,open,150
15,1,0:15,Malware Spreading to Water Treatment,"Shentel traces malware lateral movement to Salem water treatment SCADA network. Operators report anomalous valve commands. Manual override engaged but situation unstable.",Salem,5,Shentel Communications;VA DEQ SW Regional Office;Montgomery County Government,10,open,175
16,1,0:15,County Unable to Issue Emergency Permits,"Construction company building hospital expansion cannot get emergency permits. Carilion needs additional generator pad immediately. County clerk says system completely locked.",Blacksburg,4,Montgomery County Government;Carilion Clinic System;Governor's SW Virginia Liaison,10,open,100
17,1,0:15,Elderly Resident Found Unresponsive,"911 delay contributed to 78-year-old diabetic in Wise County found unresponsive. Family member drove to fire station for help. Patient en route to hospital - outcome unknown.",Wise,4,United Way SW Virginia;Appalachian Faith & Community Network;SW Virginia EMA,10,open,125
18,1,0:15,Coal Ash Pond Sensor Silence Concerning,"Without DEQ sensors online for 15+ minutes operators cannot verify coal ash pond levels. Heavy rain forecast tonight. Environmental groups demanding status update.",Wise,4,VA DEQ SW Regional Office;Food City / Regional Supply Chain;Governor's SW Virginia Liaison,10,open,100
