id,phase,sim_time,incident,description,location,severity,visible_to,time_limit,state,points_resolve
1,3,0:00,Coal Mining Operations Halted,"Three major coal mines in Buchanan and Tazewell counties have gone idle after cyber damage disabled ventilation, drainage pumps, and safety monitoring systems. Over 2,000 miners are suddenly without income — most have no savings to cover even two weeks. Coal ash containment ponds at two sites are running on manual monitoring with skeleton crews; one sensor failure could trigger an uncontrolled release into the Clinch River. The coalfield counties that depend on mining severance taxes face an immediate budget crisis — school funding, road maintenance, and emergency services are all at risk. Mine operators say they cannot restart without full safety system restoration, which requires both power AND cyber-secure control networks. [UPDATE 0:21] 3-team response: Banff (A1 stimulus $500K + A28 water/monitoring repair $500K), Redwood (A1 stimulus $500K + A34), Glacier (A27 coal ash assessment $200K + A28 water repair $500K + A34 + A37 grant). Miners receiving emergency income support; coal ash containment assessed and being stabilized. [UPDATE 0:25] Arches (AEP) added A9 priority power restoration ($1M) targeting mine ventilation and drainage systems — power is the first prerequisite for restart. Denali (Sheriff) added A34 intel sharing + personnel for order near affected communities. CRITICAL GAP: mines cannot restart until cyber-secure control networks are restored (CISA/Shentel work not yet completed). Mine ventilation crisis (Inject 10) being addressed via power restoration.",Buchanan & Tazewell Counties,5,"AEP Appalachian Power;Governor's SW Virginia Liaison;Montgomery County Government;SW Virginia Sheriff's Coalition;VA DEQ SW Regional Office",15,partially_resolved,175
2,3,0:00,Pharmacy & Medical Supply Chain Collapse,"Electronic prescription verification systems remain down across the region. Carilion's three dialysis centers report supply levels critical — enough for 36 hours of treatment for 200+ patients. Opioid recovery patients at four medication-assisted treatment clinics have missed two consecutive daily doses; counselors report patients returning to street sources. Rural pharmacies in Lee, Scott, and Wise counties have closed entirely — no way to verify insurance, check drug interactions, or process prescriptions. Insulin-dependent diabetics, cardiac patients on blood thinners, and organ transplant recipients on immunosuppressants face life-threatening gaps. The nearest functioning pharmacy for some rural residents is 90 minutes away. [UPDATE 0:19] Acadia: A8 clinics + A30 financial assistance. [UPDATE 0:23] Shenandoah: A6 override + A7 bypass + A8 + A34. [UPDATE 0:25] Yoho: A30 emergency financial assistance + A34 supporting Carilion distribution. 3-team comprehensive response. RESOLVED.",Roanoke & Rural Counties,5,"Carilion Clinic System;Food City / Regional Supply Chain;United Way SW Virginia;Appalachian Faith & Community Network",15,resolved,175
3,3,0:00,Fuel Shortage Reaches Critical,"Every gas station in a 50-mile radius of Blacksburg has run dry. School districts have suspended bus service affecting 15,000 students. Three volunteer fire departments report they cannot respond to calls — tanks empty. Fuel hoarding has created dangerous situations: a garage fire in Radford was traced to 200 gallons of gasoline stored in plastic containers. Emergency vehicles regionwide are on reserve fuel. The closest fuel terminal with supply is in Roanoke, but tanker trucks need escort through areas where desperate residents have attempted to hijack deliveries. [UPDATE 0:06] Sequoia: A35 route optimization + A5 escort initiated. [UPDATE 0:23] Yosemite: A12 resupply convoy + A20 distribution sites. [UPDATE 0:26] Arches: A9 power restoration to gas station pumps + A11 generators to critical facilities. Denali: confirmed escort role. 4-team comprehensive response. Emergency vehicles and critical facilities fully fueled. RESOLVED.",Regional,4,"VDOT SW Region;AEP Appalachian Power;SW Virginia Sheriff's Coalition;SW Virginia EMA;VA DEQ SW Regional Office",10,resolved,175
4,3,0:00,Small Business Mass Closure Wave,"Over 200 businesses across Blacksburg, Christiansburg, and Radford cannot process card payments. Restaurants, retail shops, and service businesses that are 95% card-based have locked their doors. Five thousand workers missed Friday's payroll — direct deposit failed and no one can cut manual checks without network access. Downtown Blacksburg is a ghost town. The cash-only economy has created lines at the few open businesses; altercations are reported at a gas station accepting cash. Three strip malls have been broken into overnight. Business owners are talking about permanent closure and leaving the region. [UPDATE 0:18] Jasper: A34 + A39 business spotlight + custom scheduled daily updates. [UPDATE 0:23] Yellowstone (CISA): A18 emergency comm network ($400K) + A36 financial system security audit ($300K). Payment systems being audited and connectivity restored. Businesses regaining limited card processing capability.",Blacksburg & Christiansburg,4,"Montgomery County Government;Shentel Communications;WDBJ7 News;CISA Regional Coordinator",10,partially_resolved,175
5,3,0:00,Regional Food Distribution Breakdown,"Food City's regional warehouse in Salem is operating on backup generators with 48 hours of fuel. Refrigeration is failing — $2M in perishable inventory will spoil within 24 hours if power isn't restored. Thirty-seven rural Food City and Dollar General stores have empty shelves. The panic buying that began in Phase 2 depleted reserves that were never restocked. Church food pantries report they've distributed everything they had. Families in Appalachian communities 30+ miles from the nearest town have no food access at all. A semi-organized caravan of residents from three counties is heading to the Salem warehouse demanding access. [UPDATE 0:13] Acadia: A13 mobile markets ($200K). [UPDATE 0:30] Yoho: A13 additional mobile markets ($200K) + A32 community mutual aid networks ($100K) + A34. Zion collab claimed (unconfirmed). Church and community distribution networks activated across the region. Warehouse refrigeration and resupply still needed.",Salem & Rural Counties,4,"Food City / Regional Supply Chain;SW Virginia EMA;Appalachian Faith & Community Network;United Way SW Virginia;SW Virginia Sheriff's Coalition",10,partially_resolved,175
6,3,0:00,Brain Drain & Community Exodus,"Virginia Tech's registrar reports 340 students have submitted mid-semester transfer requests — the largest wave in university history. Young families are listing homes in Blacksburg and Christiansburg at steep discounts. Carilion has lost 12 nurses and 3 physicians to out-of-state offers this week alone. The viral editorial 'Is Southwest Virginia Dying?' has been shared 100,000 times. A Roanoke Times poll shows 40% of residents under 35 are 'seriously considering' leaving. The Chamber of Commerce warns that if the perception of collapse isn't countered, the economic damage will become self-fulfilling regardless of whether systems are restored. [UPDATE 0:22] Olympic: A22+A23+A24+A26+A31, transfers to Acadia+Jasper. [UPDATE 0:30] Jasper: A25 economic recovery campaign ($200K) countering 'SW Virginia is dying' narrative, collab with Redwood. Transfer requests slowing; recovery narrative gaining traction.",Blacksburg & Roanoke,3,"Virginia Tech Crisis Response;Governor's SW Virginia Liaison;WDBJ7 News;Carilion Clinic System",20,partially_resolved,175
7,3,0:00,Federal Disaster Qualification Disputed,"FEMA's Region III office has formally ruled that the cyber attack does not meet the Stafford Act definition of a 'major disaster' or 'emergency' because there is no physical damage to infrastructure. This freezes $50M in federal aid that Virginia's governor requested. The congressional delegation is split — one senator supports emergency legislation while the other calls it 'federal overreach.' Without federal funds, the state and local governments must cover all response costs from existing budgets. Legal experts say a challenge could take months. Meanwhile, neighboring West Virginia counties affected by the same attack have found a workaround through a different federal program. [UPDATE 0:22] Olympic A22 economic impact assessment begun — critical evidence for Stafford Act challenge. Formal request not yet filed.",Blacksburg & Washington DC,4,"CISA Regional Coordinator;Governor's SW Virginia Liaison;VA DEQ SW Regional Office;Virginia Tech Crisis Response",15,partially_resolved,175
8,3,0:00,Payment Systems Down Across Region,"The banking network serving Southwest Virginia remains offline. ATMs are non-functional. The three regional banks have closed branches — they cannot process any transactions. Food City registers are cash-only but running low on change. VDOT toll systems on I-81 are down, creating traffic backups. Montgomery County has suspended tax and utility bill collection — creating a local government revenue crisis. Unemployment claims can't be filed online. Social Security direct deposits aren't clearing. The elderly and disabled who depend on electronic benefit transfers have no access to their own money. [UPDATE 0:12] Sequoia: A34 intel sharing. [UPDATE 0:23] Yellowstone (CISA): A18 emergency comm network ($400K) + A36 financial system security audit ($300K). Temporary cell towers and satellite terminals deployed; systems audited to prevent re-compromise. Payment restoration underway in controlled phases.",Regional,4,"Shentel Communications;Montgomery County Government;VDOT SW Region;CISA Regional Coordinator",10,partially_resolved,175
9,3,0:10,Altercation at Salem Warehouse,"The caravan of residents heading to Food City's Salem warehouse arrived and confronted security. With no food distribution announcement made by 0:10, desperation boiled over — three people were injured in shoving incidents and one was hospitalized with a broken arm. WDBJ7 cameras captured footage now spreading on social media. Sheriff's deputies responding pulled resources from business security patrols. Food City management has temporarily locked down the warehouse. The altercation is reinforcing the 'Southwest Virginia is dying' narrative.",Salem,3,"SW Virginia Sheriff's Coalition;Food City / Regional Supply Chain;WDBJ7 News;SW Virginia EMA",20,open,100
10,3,0:15,Mine Ventilation Crisis — Collapse Risk,"With no response to Inject 1 by the 0:15 deadline, automated ventilation shutoffs have begun triggering in two of the three idle mines. Methane sensors are spiking at the Buchanan County site. Emergency crews have ordered the evacuation of 400 residents in adjacent communities as a precaution. State mine safety officials are on scene but cannot restart systems without power and cyber-secure controls. If ventilation fully fails, a methane accumulation explosion is possible within hours. Coal ash containment at the Tazewell site is now at 94% capacity with no automated overflow controls. [UPDATE 0:25] Arches (AEP): A9 priority power restoration ($1M) targeting mine ventilation and drainage — power being restored to both mine sites. Glacier's A27+A28 stabilizing coal ash containment. Methane levels declining as ventilation restarts. Residents remain evacuated pending safety clearance. Cyber-secure controls still needed for full mine restart.",Buchanan County,5,"AEP Appalachian Power;VA DEQ SW Regional Office;SW Virginia Sheriff's Coalition;Governor's SW Virginia Liaison",20,partially_resolved,150
