Geospatial Injects ,,
Incident ,Address,Role/Participant Impacted
Protests at City Hall regarding illegal lockdown.,"City Hall Park, New York, NY 10007",Information Warfare Team Member
Bomb Threat called in against Trump Tower,"725 5th Ave, New York, NY 10022",Information Warfare Team Member
Armed man at Grand Central Station in response to proported shipment of COVID-19 Virus Vials from U.S. Army Base Fort Detrich. ,"89 E 42nd St, New York, NY 10017",Information Warfare Team Member
Run on Citywide ATMs,"136-29 38th Ave, Flushing, NY 11354",Information Warfare Team Member
Run on Citywide ATMs,"51-13 108th St, Flushing, NY 11368",Information Warfare Team Member
Run on Citywide ATMs,"76-02 Northern Blvd, Jackson Heights, NY 11372",Information Warfare Team Member
Run on Citywide ATMs,"52 Broadway, New York, NY 10004",Information Warfare Team Member
Run on Citywide ATMs,"619 Main St, New York, NY 10044",Information Warfare Team Member
Run on Citywide ATMs,"110 Washington Pl, New York, NY 10014",Information Warfare Team Member
Run on Citywide ATMs,"16 W 46th St, New York, NY 10036",Information Warfare Team Member
Run on Citywide ATMs,"10 E 14th St, New York, NY 10003",Information Warfare Team Member
Run on Citywide ATMs,"15 Maiden Ln A, New York, NY 10038",Information Warfare Team Member
Run on Citywide ATMs,"387 Park Ave S 2nd floor, New York, NY 10016",Information Warfare Team Member
Workers Strike at Amazon Fullfillment Center,"6 W 35th St, New York, NY 10001",Information Warfare Team Member
Javits Center Converted to Mass Covid-19 Ward,"429 11th Ave, New York, NY 10001",Information Warfare Team Member
"Massive Cyber Attack Hits NYSE, Markets Plummit 2,000 points and causes automatic shut down. ","11 Wall St, New York, NY 10005",Information Warfare Team Member
Hospital Electronic Health Records Systems Suffer Cryptolocker Attack,"1901 1st Avenue, New York, NY 10029",Information Warfare Team Member
Hospital Electronic Health Records Systems Suffer Cryptolocker Attack,"1901 1st Avenue, New York, NY 10029",Information Warfare Team Member
Hospital Electronic Health Records Systems Suffer Cryptolocker Attack,"462 1st Avenue, New York, NY 10016",Information Warfare Team Member
Hospital Electronic Health Records Systems Suffer Cryptolocker Attack,"506 Lenox Ave, New York, NY 10037",Information Warfare Team Member
Hospital Electronic Health Records Systems Suffer Cryptolocker Attack,"3424 Kossuth Ave, The Bronx, NY 10467",Information Warfare Team Member
Hospital Electronic Health Records Systems Suffer Cryptolocker Attack,"2601 Ocean Pkwy, Brooklyn, NY 11235",Information Warfare Team Member
Hospital Electronic Health Records Systems Suffer Cryptolocker Attack,"227 Madison St, Manhattan, NY 10002",Information Warfare Team Member
Hospital Electronic Health Records Systems Suffer Cryptolocker Attack,"760 Broadway, Brooklyn, NY 11206",Information Warfare Team Member
Hospital Electronic Health Records Systems Suffer Cryptolocker Attack,"79-01 Broadway, Elmhurst, NY 11373",Information Warfare Team Member
Hospital Electronic Health Records Systems Suffer Cryptolocker Attack,"234 E 149th St, The Bronx, NY 10451",Information Warfare Team Member
Hospital Electronic Health Records Systems Suffer Cryptolocker Attack,"100 E 77th St, New York, NY 10075",Information Warfare Team Member
Hospital Electronic Health Records Systems Suffer Cryptolocker Attack,"1400 Pelham Pkwy S, The Bronx, NY 10461",Information Warfare Team Member
Hospital Electronic Health Records Systems Suffer Cryptolocker Attack,"170 William St, New York, NY 10038",Information Warfare Team Member
Hospital Electronic Health Records Systems Suffer Cryptolocker Attack,"645 Kingston Ave, Brooklyn, NY 11203",Information Warfare Team Member
Hospital Electronic Health Records Systems Suffer Cryptolocker Attack,"1468 Madison Ave, New York, NY 10029",Information Warfare Team Member
Grocery Stores Reporting Run on Paper Goods,"77 7th Ave, New York, NY 10011",Information Warfare Team Member
Grocery Stores Reporting Run on Paper Goods,"91 1st Avenue, New York, NY 10003",Information Warfare Team Member
Grocery Stores Reporting Run on Paper Goods,"157 Hester St, New York, NY 10013",Information Warfare Team Member
Grocery Stores Reporting Run on Paper Goods,"21 St Marks Pl, New York, NY 10003",Information Warfare Team Member
Grocery Stores Reporting Run on Paper Goods,"810 8th Ave, New York, NY 10019",Information Warfare Team Member
Grocery Stores Reporting Run on Paper Goods,"550 2nd Ave, New York, NY 10016",Information Warfare Team Member
Grocery Stores Reporting Run on Paper Goods,"790 Greenwich St, New York, NY 10014",Information Warfare Team Member
Grocery Stores Reporting Run on Paper Goods,"224 E 59th St, New York, NY 10022",Information Warfare Team Member
Grocery Stores Reporting Run on Paper Goods,"259 6th Ave, New York, NY 10014",Information Warfare Team Member
Grocery Stores Reporting Run on Paper Goods,"1313 3rd Ave, New York, NY 10021",Information Warfare Team Member
Grocery Stores Reporting Run on Paper Goods,"200 Canal St, New York, NY 10013",Information Warfare Team Member
Grocery Stores Reporting Run on Paper Goods,"634 Hudson St, New York, NY 10014",Information Warfare Team Member
Fears of 5G as causing COVID-19 spark attacks on mobile phone stores," 31 E 17th St, New York, NY 10003",Information Warfare Team Member
Fears of 5G as causing COVID-19 spark attacks on mobile phone stores,"3 Times Square, New York, NY 10036",Information Warfare Team Member
