id,phase,sim_time,incident,description,location,severity,visible_to,time_limit,state,points_resolve
1,3,0:00,Coal Mining Operations Halted,"Three major coal mines in Buchanan and Tazewell counties have gone idle after cyber damage disabled ventilation, drainage pumps, and safety monitoring systems. Over 2,000 miners are suddenly without income — most have no savings to cover even two weeks. Coal ash containment ponds at two sites are running on manual monitoring with skeleton crews; one sensor failure could trigger an uncontrolled release into the Clinch River. The coalfield counties that depend on mining severance taxes face an immediate budget crisis — school funding, road maintenance, and emergency services are all at risk. Mine operators say they cannot restart without full safety system restoration, which requires both power and cyber-secure control networks. [UPDATE 0:21] Banff (Montgomery County): A1 emergency stimulus ($500K) for idle miners + A28 water/monitoring system repair ($500K). Redwood (Governor): A1 economic stimulus ($500K) + A34 intel sharing. Glacier (DEQ): A27 coal ash assessment ($200K) + A28 water repair ($500K) + A34 + A37 grant application. 3-team response. Miners receiving emergency funds; coal ash assessment underway; mine restart still requires power and cyber restoration.",Buchanan & Tazewell Counties,5,"AEP Appalachian Power;Governor's SW Virginia Liaison;Montgomery County Government;SW Virginia Sheriff's Coalition;VA DEQ SW Regional Office",15,partially_resolved,175
2,3,0:00,Pharmacy & Medical Supply Chain Collapse,"Electronic prescription verification systems remain down across the region. Carilion's three dialysis centers report supply levels critical — enough for 36 hours of treatment for 200+ patients. Opioid recovery patients at four medication-assisted treatment clinics have missed two consecutive daily doses; counselors report patients returning to street sources. Rural pharmacies in Lee, Scott, and Wise counties have closed entirely — no way to verify insurance, check drug interactions, or process prescriptions. Insulin-dependent diabetics, cardiac patients on blood thinners, and organ transplant recipients on immunosuppressants face life-threatening gaps. The nearest functioning pharmacy for some rural residents is 90 minutes away. [UPDATE 0:19] Acadia: A8 clinics + A30 financial assistance. [UPDATE 0:23] Shenandoah (Carilion): A6 emergency prescription override ($300K) + A7 supply chain bypass ($500K) + A8 clinic expansion ($400K) + A34. 2-team comprehensive response — prescriptions dispensed, supply bypassed, clinics open. RESOLVED.",Roanoke & Rural Counties,5,"Carilion Clinic System;Food City / Regional Supply Chain;United Way SW Virginia;Appalachian Faith & Community Network",15,resolved,175
3,3,0:00,Fuel Shortage Reaches Critical,"Every gas station in a 50-mile radius of Blacksburg has run dry. School districts have suspended bus service affecting 15,000 students. Three volunteer fire departments report they cannot respond to calls — tanks empty. Fuel hoarding has created dangerous situations: a garage fire in Radford was traced to 200 gallons of gasoline stored in plastic containers. Emergency vehicles regionwide are on reserve fuel. The closest fuel terminal with supply is in Roanoke, but tanker trucks need escort through areas where desperate residents have attempted to hijack deliveries. [UPDATE 0:06] Sequoia: A35 route optimization + A5 escort initiated. [UPDATE 0:23] Yosemite (EMA): A12 resupply convoy ($500K) + A20 distribution sites ($300K), collab with Denali escort. 2-team resolved — emergency vehicles and critical facilities fueled. School buses and public stations still recovering.",Regional,4,"VDOT SW Region;AEP Appalachian Power;SW Virginia Sheriff's Coalition;SW Virginia EMA;VA DEQ SW Regional Office",10,resolved,175
4,3,0:00,Small Business Mass Closure Wave,"Over 200 businesses across Blacksburg, Christiansburg, and Radford cannot process card payments. Restaurants, retail shops, and service businesses that are 95% card-based have locked their doors. Five thousand workers missed Friday's payroll — direct deposit failed and no one can cut manual checks without network access. Downtown Blacksburg is a ghost town. The cash-only economy has created lines at the few open businesses; altercations are reported at a gas station accepting cash. Three strip malls have been broken into overnight. Business owners are talking about permanent closure and leaving the region. [UPDATE 0:18] Jasper (WDBJ7): A39 business spotlight ($50K) driving traffic to open businesses; A34 intel sharing; custom scheduled daily updates ($200K) approved. Community confidence improving, businesses featured. Payment systems still down.",Blacksburg & Christiansburg,4,"Montgomery County Government;Shentel Communications;WDBJ7 News;CISA Regional Coordinator",10,partially_resolved,175
5,3,0:00,Regional Food Distribution Breakdown,"Food City's regional warehouse in Salem is operating on backup generators with 48 hours of fuel. Refrigeration is failing — $2M in perishable inventory will spoil within 24 hours if power isn't restored. Thirty-seven rural Food City and Dollar General stores have empty shelves. The panic buying that began in Phase 2 depleted reserves that were never restocked. Church food pantries report they've distributed everything they had. Families in Appalachian communities 30+ miles from the nearest town have no food access at all. A semi-organized caravan of residents from three counties is heading to the Salem warehouse demanding access. [UPDATE 0:13] Acadia (United Way) deployed A13 mobile markets ($200K) to food desert communities. Rural access partially restored. Warehouse caravan and perishable spoilage risk ongoing.",Salem & Rural Counties,4,"Food City / Regional Supply Chain;SW Virginia EMA;Appalachian Faith & Community Network;United Way SW Virginia;SW Virginia Sheriff's Coalition",10,partially_resolved,175
6,3,0:00,Brain Drain & Community Exodus,"Virginia Tech's registrar reports 340 students have submitted mid-semester transfer requests — the largest wave in university history. Young families are listing homes in Blacksburg and Christiansburg at steep discounts. Carilion has lost 12 nurses and 3 physicians to out-of-state offers this week alone. The viral editorial 'Is Southwest Virginia Dying?' has been shared 100,000 times. A Roanoke Times poll shows 40% of residents under 35 are 'seriously considering' leaving. The Chamber of Commerce warns that if the perception of collapse isn't countered, the economic damage will become self-fulfilling regardless of whether systems are restored. [UPDATE 0:22] Olympic (VT Crisis Response): A22 economic impact study ($100K) + A23 business tech assistance ($150K) + A24 student volunteers ($50K) + A26 job board ($100K) + A31 job retraining ($300K). Comprehensive retention response. Transfer $300K to Acadia + $100K to Jasper for coordination. Transfer requests slowing.",Blacksburg & Roanoke,3,"Virginia Tech Crisis Response;Governor's SW Virginia Liaison;WDBJ7 News;Carilion Clinic System",20,partially_resolved,175
7,3,0:00,Federal Disaster Qualification Disputed,"FEMA's Region III office has formally ruled that the cyber attack does not meet the Stafford Act definition of a 'major disaster' or 'emergency' because there is no physical damage to infrastructure. This freezes $50M in federal aid that Virginia's governor requested. The congressional delegation is split — one senator supports emergency legislation while the other calls it 'federal overreach.' Without federal funds, the state and local governments must cover all response costs from existing budgets. Legal experts say a challenge could take months. Meanwhile, neighboring West Virginia counties affected by the same attack have found a workaround through a different federal program. [UPDATE 0:22] Olympic (VT): A22 economic impact assessment ($100K) begun — critical evidence for Stafford Act challenge. Legal case building but formal request not yet filed.",Blacksburg & Washington DC,4,"CISA Regional Coordinator;Governor's SW Virginia Liaison;VA DEQ SW Regional Office;Virginia Tech Crisis Response",15,partially_resolved,175
8,3,0:00,Payment Systems Down Across Region,"The banking network serving Southwest Virginia remains offline. ATMs are non-functional. The three regional banks have closed branches — they cannot process any transactions. Food City registers are cash-only but running low on change. VDOT toll systems on I-81 are down, creating traffic backups. Montgomery County has suspended tax and utility bill collection — creating a local government revenue crisis. Unemployment claims can't be filed online. Social Security direct deposits aren't clearing. The elderly and disabled who depend on electronic benefit transfers have no access to their own money. [UPDATE 0:12] Sequoia (VDOT) filed A34 intelligence sharing — notified CISA and Food City about toll systems and banking network status.",Regional,4,"Shentel Communications;Montgomery County Government;VDOT SW Region;CISA Regional Coordinator",10,open,175
9,3,0:10,Altercation at Salem Warehouse,"The caravan of residents heading to Food City's Salem warehouse arrived and confronted security. With no food distribution announcement made by 0:10, desperation boiled over — three people were injured in shoving incidents and one was hospitalized with a broken arm. WDBJ7 cameras captured footage now spreading on social media. Sheriff's deputies responding pulled resources from business security patrols. Food City management has temporarily locked down the warehouse. The altercation is reinforcing the 'Southwest Virginia is dying' narrative.",Salem,3,"SW Virginia Sheriff's Coalition;Food City / Regional Supply Chain;WDBJ7 News;SW Virginia EMA",20,open,100
10,3,0:15,Mine Ventilation Crisis — Collapse Risk,"With no response to Inject 1 by the 0:15 deadline, automated ventilation shutoffs have begun triggering in two of the three idle mines. Methane sensors are spiking at the Buchanan County site. Emergency crews have ordered the evacuation of 400 residents in adjacent communities as a precaution. State mine safety officials are on scene but cannot restart systems without power and cyber-secure controls. If ventilation fully fails, a methane accumulation explosion is possible within hours. Coal ash containment at the Tazewell site is now at 94% capacity with no automated overflow controls.",Buchanan County,5,"AEP Appalachian Power;VA DEQ SW Regional Office;SW Virginia Sheriff's Coalition;Governor's SW Virginia Liaison",20,open,150
11,3,0:15,Dialysis Patient Emergency — Hospital Overflow,"Carilion Roanoke Memorial is receiving a surge of dialysis patients as the 36-hour supply window closes. Twelve ambulances are running continuous transfers from outlying centers. The ER is at 140% capacity. Two patients have been transferred to hospitals in Lynchburg, consuming fuel reserves. Opioid recovery patients — now on day three without medication — are presenting at ERs with withdrawal symptoms, further overwhelming staff. A regional healthcare mutual aid request has been activated but neighboring systems are slow to respond. [UPDATE 0:23] Shenandoah (Carilion) A6+A7 + Acadia A8 together addressing dialysis supply and ER overflow. Supply en route; ER still stressed.",Roanoke,5,"Carilion Clinic System;SW Virginia EMA;United Way SW Virginia;Appalachian Faith & Community Network",20,partially_resolved,150
12,3,0:20,Congressional Hearing Announced,"With no formal federal disaster qualification request filed by 0:20, the story goes national. A US Senate subcommittee chair announces an emergency hearing on 'The Federal Response Gap: Cyber Attacks and Disaster Relief Law.' Cable news crews are arriving in Roanoke. The attention is a double-edged sword — it amplifies the 'Southwest Virginia is dying' narrative nationally but also creates political pressure for emergency legislation. The congressman opposing emergency aid doubles down, calling the situation 'a local IT problem.' Meanwhile, the West Virginia workaround is being scrutinized as a potential model.",Washington DC & Roanoke,3,"CISA Regional Coordinator;Governor's SW Virginia Liaison;Virginia Tech Crisis Response;WDBJ7 News",30,open,100
