action_id,action_name,available_to,cost,delay_mins,requires_approval,trust_impact,description
A1,Network Isolation,AEP Appalachian Power;Virginia Tech Crisis Response;Carilion Clinic System;Shentel Communications,$500K,0,NONE,0,Immediately disconnect systems from network to prevent attack spread. Stops services but contains damage.
A2,Forensic Investigation,CISA Regional Coordinator;Virginia Tech Crisis Response,$1M,10,NONE,0,Detailed malware analysis to understand attack capabilities and identify attribution indicators.
A3,Emergency Backup Activation,Carilion Clinic System,$250K,5,NONE,+1,Activate paper-based procedures and backup systems for critical healthcare services.
A4,Public Communication,Governor's SW Virginia Liaison;WDBJ7 News;Montgomery County Government,$100K,0,NONE,+2/-2,Issue public statement about situation. Accurate info builds trust; misleading info destroys it.
A5,State Emergency Declaration,Governor's SW Virginia Liaison,$0,5,NONE,+1,Declare state of emergency enabling access to state resources and federal assistance requests.
A6,Request Federal Assistance,Governor's SW Virginia Liaison;CISA Regional Coordinator,$0,20,Governor's SW Virginia Liaison,+1,Request federal cybersecurity support and potential disaster declaration.
A7,Deploy Cybersecurity Team,CISA Regional Coordinator;Virginia Tech Crisis Response,$2M,30,NONE,0,Bring in specialized incident response team to assist with containment and recovery.
A8,Grid System Hardening,AEP Appalachian Power,$1.5M,20,NONE,0,Implement emergency protective measures for power grid control systems.
A9,Patient Transfer Coordination,Carilion Clinic System;SW Virginia EMA,$500K,10,Carilion Clinic System,0,Coordinate transfer of critical patients to unaffected facilities.
A10,Community Welfare Check,United Way SW Virginia;Appalachian Faith & Community Network,$100K,5,NONE,+1,Deploy volunteers and church networks to check on vulnerable populations in rural areas.
A11,Activate EOC,SW Virginia EMA;Montgomery County Government,$200K,5,Governor's SW Virginia Liaison,+1,Activate regional Emergency Operations Center for coordinated response.
A12,Media Briefing,Governor's SW Virginia Liaison;WDBJ7 News,$50K,0,NONE,+1/-1,Hold press conference to inform public. Quality of information affects trust.
A13,Intelligence Sharing,ALL,$0,0,NONE,+1,Share threat intelligence with other teams. Improves collective defense.
A14,Volunteer Network Activation,United Way SW Virginia,$150K,5,NONE,+1,Activate United Way volunteer networks for community support.
A15,Emergency Prescription Override,Carilion Clinic System,$100K,0,Governor's SW Virginia Liaison,0,Authorize emergency prescription dispensing without electronic verification.
A16,Backup Generator Deployment,AEP Appalachian Power;SW Virginia EMA,$300K,10,NONE,0,Deploy mobile generators to critical facilities in case of power disruption.
A17,Traffic Management Manual Mode,VDOT SW Region;SW Virginia Sheriff's Coalition,$200K,5,NONE,0,Switch traffic signals to manual/timer mode in case of system compromise.
A18,FBI Investigation Support,CISA Regional Coordinator,$0,5,Governor's SW Virginia Liaison,0,Accept FBI assistance with attribution investigation. Shares control but gains resources.
A19,Rural Clinic Support,Carilion Clinic System;United Way SW Virginia;Appalachian Faith & Community Network,$400K,10,NONE,+1,Send additional staff and supplies to isolated rural clinics.
A20,Supply Chain Assessment,Food City / Regional Supply Chain,$150K,5,NONE,0,Assess regional food/supply impacts and identify critical vulnerabilities.
A21,Environmental System Check,VA DEQ SW Regional Office,$100K,5,NONE,0,Verify status of environmental monitoring systems (water treatment/coal ash ponds).
A22,Shelter Preparation,United Way SW Virginia;Montgomery County Government,$200K,10,NONE,0,Prepare emergency shelters in case extended outages require evacuation of vulnerable populations.
A23,Church Network Outreach,Appalachian Faith & Community Network,$50K,0,NONE,+1,Activate faith community phone trees to check on isolated residents.
A24,Research Partner Notification,Virginia Tech Crisis Response,$0,0,NONE,-1,Notify federal research partners of potential data breach per legal requirements.
A25,Mutual Aid Request,Carilion Clinic System;SW Virginia EMA,$0,15,Governor's SW Virginia Liaison,0,Request mutual aid from healthcare/emergency services outside the region.
A26,Telecom Emergency Routing,Shentel Communications,$300K,5,NONE,0,Reroute critical telecom traffic to maintain emergency services connectivity.
A27,Physical Security Deployment,SW Virginia Sheriff's Coalition,$200K,5,NONE,0,Deploy deputies to secure critical infrastructure sites (VT/Carilion/AEP).
A28,Traffic Control Points,SW Virginia Sheriff's Coalition;VDOT SW Region,$150K,5,SW Virginia EMA,0,Establish traffic control points if evacuation or restricted access needed.
A29,Emergency Food Distribution,Food City / Regional Supply Chain;United Way SW Virginia,$200K,10,NONE,+1,Set up emergency food distribution points for affected communities.
A30,Critical Infrastructure Survey,VDOT SW Region;AEP Appalachian Power,$100K,5,NONE,0,Survey roads and power lines for damage or security concerns.
A31,Rumor Control Campaign,WDBJ7 News;Montgomery County Government,$75K,0,NONE,+1,Actively counter misinformation through verified updates and fact-checking.
A32,Water Quality Testing,VA DEQ SW Regional Office;Montgomery County Government,$150K,10,NONE,0,Emergency water quality testing at critical facilities and distribution points.
A33,Evacuation Route Planning,VDOT SW Region;SW Virginia EMA,$100K,5,NONE,0,Identify and prepare evacuation routes if needed for affected areas.
A34,Cellular Network Priority,Shentel Communications,$200K,5,NONE,0,Enable emergency priority access for first responders on cellular networks.
A35,Hazmat Response Staging,VA DEQ SW Regional Office;SW Virginia EMA,$250K,10,NONE,0,Pre-position hazmat response equipment near coal ash ponds and industrial sites.
A36,Community Information Centers,Appalachian Faith & Community Network;Montgomery County Government,$100K,5,NONE,+1,Set up information centers at churches and community buildings for residents without internet.
