Crisis Simulation Incident Working Doc,,
Incident Description,Simulation Day,Potential Parties Involved
"Three car pile up in the Lincoln Tunnel. Four people injured, one person reported deceased. The accident has blocked all outbound traffic through the tunnel.",1,"EMS, Office of the City Medical Examiner, NYPD "
Amazon workers go on strike due to impending storm,1,Amazon CEO 
NY Governor requires notification of available resources and proposals on how to effectively utilize the National Guard if Superstorm Sandy makes landfall in New York City,1,National Guard Commander
"Many Atlantic City casinos are refusing to close, dismissing Superstorm Sandy reports as exaggerated. Casino owners release statement encouraging New Jersey citizens to stay and shelter in place at their facilities instead of evacuating.",1,NJ Governor
"Federal, state, and local officials seek possible storm trajectories and most likely landfall locations in order to direct pre-storm preparations.",1,"NOAA Administrator, Press Secretary Federal, Press Secretary State, Press Secretary Local"
New York residents living near the coast seek clarification on their need to evacuate. Coastal residents are still unsure as to how they are supposed to evacuate if they decide to do so.,1,"NY Governor, Press Secretary State, Department of Transportation, Metro Transit Authority "
New Jersey residents seek clarification on their need to evacuate in the face of Superstorm Sandy.  ,1,"NJ Governor, Director of NJ Transit"
Sailing Vessel Red Apple capsized near Governors Island. S/V Red Apple stated in its distress call that five people were aboard. All five now presumed to be in the water.,1,Police Chief NYC (NYPD)    
Thousands of people stranded at LaGuardia and Newark International Airport as flight cancellations mount in the face of Superstorm Sandy.,1,"NY Governor, NJ Governor, Ports Authority Manager"
Country in panic as Superstorm Sandy bears down on the East Coast. Opposition party members criticize the President's silence in the face of crisis.,1,"Press Secretary Federal, POTUS"
New York City residents seek clarification on their need to evacuate the City. Residents still unsure as to how they are supposed to evacuate if they decide to do so.,1,"NYC Mayor, Press Secretary Local"
Senate Armed Foreces Committee requires notification on how Superstorm Sandy will impact global deployment schedules and impact force readiness. ,1,SECDEF
Jamaica and the Bahamas request international aid after being devastated by Superstorm Sandy. The Bahamas implore the United States to send hospital ships and monetary aid to facilitate recovery efforts.,1,"SECSTATE, SECDEF"
Worried parents seek notification of school closures as storm approaches. ,1,"Schools Chancellor, Press Secretary Local, Press Secretary State"
Protests have erupted in West Bronx and Fordham Heights. Citizens are unable to find basic essentials to prepare for the storm. Protestors argue that goods have been diverted away from their neighborhoods to wealthier districts of NYC.,1,"Consumer Affairs Department, NYPD"
The families of prisoners housed in New York City demand evacuation of their loved ones in the face of Superstorm Sandy,1,Department of Corrections
Citizens seek information on how best to storm-proof their homes and businesses,1,"Department of Buildings, Press Secretary Local"
New York and New Jersey businesses request that the April 15th due date for paying taxes be extended in light of Superstorm Sandy,1,"NY Governor, NJ Governor, Department of Treasury"
New York City government employees seek information on building closures and personnel requirements,1,Department of Citywide Administrative Services
"13.9 foot storm surge floods Lower Manhattan leaving roads, tunnels, and subway lines inaccessible",2,"Con Edison, CEO Metro North, Department of Transportation, Metro Transit Authority"
Individual crushed to death by falling tree.,2,"EMS, Office of the City Medical Examiner"
Manhattan electricity substation explodes leaving nearly one million people without power. Surrounding buildings have been set on fire due to the explosion.,2,"Con Edison, NYPD, NYFD, EMS"
"Backup power lost at New York University hospital. Entire facility plunged into darkness. Patients, including infants and those in intensive care, need to be relocated.",2,"Hospital Administrator, Department of Health and Mental Hygiene, EMS"
Two people found drowned in a flooded home,2,"EMS, Office of the City Medical Examiner"
Individual killed after stepping in a puddle that was electrified by downed power lines,2,"EMS, Office of the City Medical Examiner, Con Edison"
"As airports shut down, 2,500 passengers remain stranded. Fights break out over lack of necessities.",2,Ports Authority Manager 
Construction crane on top of new high rise development in collapsed under Superstorm Sandy's winds. The crane hangs precariously over the city below. ,2,Department of Buildings
"80 homes on fire in Breezy Point, Queens. Winds from Sandy spread the flames rapidly leaving residents no time to flee. 25 individuals are trapped in an apartment building. All land routes to and from the area are blocked by the fire.",2,"EMS, FDNY"
Gas leaks reported in Brooklyn as storm damage severs lines.,2,Gas Company
U.S. hospitals computers been hit by a ransomware virus preventing healthcare providers from accessing patient data without paying for access. The ransomware program targeted computers running Windows operating systems,2,"Department of Health and Mental Hygiene, Hospital Administrator, US-CERT/ICS-CERT Lead, Microsoft CEO"
Reports indicate Indian Point Nuclear Power Plant battered by the Superstorm Sandy. Extent of the damage unclear.,2,CEO of Indian Point Nuclear Power Plant
"Federal, State, and Local officials seek information regarding Arctic Blast  on April 23, 2020",2,"NOAA Administrator, Press Secretary Federal, Press Secretary State, Press Secretary Local"
Manhattan prisons without power. Prisons in Lower Manhattan reporting substantial structural damage.,2,"Department of Corrections, Department of Design and Construction"
Citizens seek help from massive power outages. 90% of Long Island has gone blind due to Superstorm Sandy.,3,"US-CERT/ICS-Cert Lead, NY GOV, NJ GOV, Department of buildings "
6 alarm fire reported in Queens from Superstorm Sandy. Residents are being displaced from their homes and businesses with nowhere to go ,3,"EMS, FDNY"
"Looting and other petty crime is being observed across sections of NYC. A man was observed stealing television sets from a local nursing home in Belle Harbor, a neighborhood in Queens.",3,"EMS, NYPD, NY GOV, EMS"
A number preplaced emergency call centers in Manhattan were rendered inoperable due to Superstorm Sandy damage,3,"AT&T CEO, Sprint CEO, T Mobile CEO, Verizon CEO, State/Local Emergency Manager"
"Post-storm damage indicates that in the highly populated region spanning Virginia to Massachusetts, 25% percent of wireless cellular transmission sites are out of service. Many within this region are without wireless telephone service. Landline communications are also damaged but to a less significant degree.",3,"AT&T CEO, Sprint CEO, T Mobile CEO, Verizon CEO, Department of Information Technology and Telecommunications, Comcast CEO, US-CERT/ICS-CERT Lead"
"150 data centers in the states of Virginia, New Jersey, and New York have been damaged physically and have lost access to power due to Superstorm Sandy. Thousands of internet sites are not available including Amazon and Apple ",3,"Amazon CEO, Apple CEO, Department of Information Technology and Telecommunications, Comcast CEO, US-CERT/ICS-CERT Lead"
Social media platforms have been inundated with calls for corporate CEOs and the nation's millionaires and billionaires to donate their own money to aiding those affected by Superstorm Sandy. Online protests have grown to a critical mass and threaten to boycott any company who does not immediately a minimum years salary to relief efforts. ,3,"Wells Fargo CEO, Bank of America CEO, Verizon CEO, T Mobile CEO, Sprint CEO, Microsoft CEO, Comcast CEO, AT&T CEO, Amazon CEO, Apple CEO, Press Secretary Federal"
Initial post-storm damage reports that seven New York subway tunnels and six bus garages are inoperable due to flooding. Salt water has pervaded all metro lines south of 53 st. ,3,"CEO of Metro North, Metro Transit Authority"
Millions of gallons of untreated sewage has spilled into Long Island Sound due to Superstorm Sandy's flooding and power outages. Sewage is most concentrated in the waters of between the Bronx and Queens. Reports indicate that all flood zones along the East River are contaminated as well. This problem may be exacerbated by residents continuing to use toilets and showers.,3,"City Sanitation Manager, Department of Environmental Protection, "
"Sporadic issues have been reported with undersea cable Atlantic Crossing-2 (AC-2).  Reports indicate that the cable has been partially severed. If left unattended, global internet traffic through AC-2 could be severed.",3,"Department of Information Technology and Telecommunications, US-CERT/ICS-CERT Lead "
Newark's drinking water has been contaminated by Superstorm Sandy flooding. Chemical and sewage runoff has infiltrated the New Jersey reservoir system.  ,3,NJ Governor
The United Nations Secretariat Building has been flooded. Ambassadors to the UN express concerns for the wellbeing of their citizens in the United States and for themselves.,3,SECSTATE
"Freezing from Arctic blast has caused the extensive rupturing of water lines in NYC, leading to both lack of access and extensive building damage. Lower income neighborhoods and government housing units have been disproportionately affected.",3,"Water Company CEO, Housing Preservation and Development"
Family of five found dead in New York City. Cause of death believed to be carbon monoxide poisoning. Reports from the scene indicate that a generator had been used indoors to power heating devices. ,3,"NYPD, Office of the City Medical Examiner"
Gas line ruptures leave homes without heating during Arctic Blast. The lack of heating could lead to vulnerable populations freezing to death if left unremedied. ,3,Gas Company CEO
Flood damage and power outages have rendered ATMs across Manhattan inoperable. The few working ATMs have been swarmed by individuals attempting to withdraw money and have run out of cash.,3,"Bank of America CEO, Wells Fargo CEO"
Political rivals criticize the President for not visiting scene of Superstorm Sandy. Opposition party members claim that the absence of POTUS demonstrates a lack of leadership in the current administration and are calling for the President to removed from office in the upcoming election.,4,"POTUS, Press Secretary Federal"
"The founder of a Pakistan-based Islamist group charged with orchestrating the 2008 Mumbai attacks has offered humanitarian assistance to the United States in wake of Superstorm Sandy. The founder stated, ""Jamaat-ud-Dawa is ready to send its volunteers, doctors, food, medicines and other relief items on humanitarian grounds if the US government allows us""",4,"SECSTATE, POTUS"
Intelligence reports indicate that a radical millenarian survivalist group in the state of New York is planning a series of terrorist attacks targeting Superstorm Sandy recovery efforts. ,4,"FBI Senior Agent, DHS Secretary, State Police, NYPD"
Environmental groups are concerned that road salt laid in preparation for the Arctic Blast will be neglected and cause substantial damage to local ecosystems and green spaces.,4,"Department of Parks and Recreation, Department of Environmental Protection"
Superstorm Sandy has taken an immense psychological toll on the people of New York. Crisis hotlines have been overwhelmed and are inadequate to meet the present needs.,4,Department of Health and Mental Hygiene
An unauthorized Russian national was apprehended in the control facility of Indian Point Nuclear Power Plant. The extent of the individual's access is unclear at the present time.,4,"CEO of Indian Point Nuclear Power Plant, FBI Senior Agent, DHS Secretary, SECSTATE"
Incidents of waterborne illnesses rise as citizens come into contact with wastewater runoff,4,"City Sanitation Manager, Department of Environmental Protection, Hospital Administrator"
Price-gouging on essential goods and over the counter medicines have been reported throughout Manhattan.  ,4,Consumer Affairs Department
NYC's urban forest is battered after Superstorm Sandy's high winds and freezing rain.,4,Department of Parks and Recreation
Citizens look to the Mayor of New York City for a unified recovery plan,4,"Mayor NYC, City CFO, Press Secretary Local, Press Secretary State"
"Government housing projects remain without power, water, and sewage. Tenants complain that recovery efforts are neglecting their urgent needs in order to aid more affluent areas first.",4,Housing Preservation and Development
Citizens of New York and New Jersey seek information about financial resources available to rebuild their homes following the destruction of Superstorm Sandy ,4,FEMA Administrator
"Citizens are asking the Governor of New York for more information about the $13 billion dollar relief package to NYC, provided by FEMA and HUD. Many citizens are arguing over what projects the relief package should prioritize for the state.",4,"Governor of NY, FEMA Admin, POTUS "
"Tax increases due to Superstorm Sandy, along with rising insurance rates, are making many citizens nervous about their financial security in the future. ",4,"Governor of NY, Governor of NJ, Department of Treasury"
Climate scientists are arguing that events such as Superstorm Sandy are only exacerbated by anthropogenic climate change in recent years. The situation has now become a politcal debate between Democrats and Republicans,4,"Department of Environmental protection, POTUS, NOAA Administrator"
